dataset,method,ef,n,campaign_ids,binary_sha256s,threads,query_contexts,top_k,metric,expected_queries,recall_mean,recall_median,recall_ci95,qps_mean,qps_median,qps_ci95,run_ids,p50_us_n,p50_us_mean,p50_us_median,p50_us_ci95,p95_us_n,p95_us_mean,p95_us_median,p95_us_ci95,p99_us_n,p99_us_mean,p99_us_median,p99_us_ci95,mean_latency_us_n,mean_latency_us_mean,mean_latency_us_median,mean_latency_us_ci95,posts_per_query_n,posts_per_query_mean,posts_per_query_median,posts_per_query_ci95,bytes_per_query_n,bytes_per_query_mean,bytes_per_query_median,bytes_per_query_ci95,network_us_n,network_us_mean,network_us_median,network_us_ci95,compute_us_n,compute_us_mean,compute_us_median,compute_us_ci95,meta_us_n,meta_us_mean,meta_us_median,meta_us_ci95,deserialize_us_n,deserialize_us_mean,deserialize_us_median,deserialize_us_ci95
SIFT10M,SHINE,300.0,5,vldb-frontier-text-sift-sw-final-v2-20260714,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,10,10,10,l2,10000,0.98817,0.98817,0.0,618.8,619.0,1.038684090568446,r1;r2;r3;r4;r5,5,33333.8478,33334.599,64.29642646855602,5,41721.280600000006,41694.042,83.31362940334266,5,43961.994,43920.4,132.0227023104979,0,,,,5,5175.1149,5175.1149,0.0,5,2646781.8396,2646781.8396,0.0,0,,,,0,,,,0,,,,0,,,
SIFT10M,SlabWalk,64.0,5,vldb-frontier-text-sift-sw-final-v2-20260714,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,10,10,10,l2,10000,0.90661,0.90661,0.0,24733.0,25648.0,2516.4056440540735,r1;r2;r3;r4;r5,5,745.9138,746.126,3.2726579886506637,5,859.2936,860.523,3.5150219753085317,5,966.9066,965.197,5.8644527010083305,0,,,,5,67.6217,67.6217,0.0,5,239400.7976,239400.7976,0.0,0,,,,0,,,,0,,,,0,,,
SIFT10M,SlabWalk,96.0,5,vldb-frontier-text-sift-sw-final-v2-20260714,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,10,10,10,l2,10000,0.94134,0.94134,0.0,16720.8,17869.0,2394.874104527217,r1;r2;r3;r4;r5,5,1083.3838,1082.755,4.5486706546812385,5,1209.5162,1210.242,7.6750959951597135,5,1304.3196,1296.953,19.957049863744956,0,,,,5,99.0334,99.0334,0.0,5,351374.7744,351374.7744,0.0,0,,,,0,,,,0,,,,0,,,
SIFT10M,SlabWalk,128.0,5,vldb-frontier-text-sift-sw-final-v2-20260714,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,10,10,10,l2,10000,0.95937,0.95937,0.0,13690.0,13762.0,206.66756029914316,r1;r2;r3;r4;r5,5,1418.8002,1418.366,3.657374405855327,5,1558.451,1558.451,7.564553648298374,5,1656.5412000000001,1654.7150000000001,23.117484583120234,0,,,,5,130.7053,130.7053,0.0,5,464116.2504,464116.2504,0.0,0,,,,0,,,,0,,,,0,,,
SIFT10M,SlabWalk,160.0,5,vldb-frontier-text-sift-sw-final-v2-20260714,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,10,10,10,l2,10000,0.9701,0.9701,0.0,11191.8,11187.0,36.17757498561782,r1;r2;r3;r4;r5,5,1753.4108,1754.5330000000001,3.8001448081618014,5,1909.8598000000002,1908.968,4.73216557379004,5,1999.0624,1997.628,10.224174822445734,0,,,,5,162.5001,162.5001,0.0,5,576974.1832,576974.1832,0.0,0,,,,0,,,,0,,,,0,,,
SIFT10M,SlabWalk,200.0,5,vldb-frontier-text-sift-sw-final-v2-20260714,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,10,10,10,l2,10000,0.97864,0.97864,0.0,9015.8,9106.0,242.46957658362,r1;r2;r3;r4;r5,5,2163.2382000000002,2163.2780000000002,2.0787631477519968,5,2350.264,2351.77,11.035081826260312,5,2438.6202,2431.623,27.32126804153137,0,,,,5,202.3396,202.3396,0.0,5,718002.4032,718002.4032,0.0,0,,,,0,,,,0,,,,0,,,
SIFT10M,SlabWalk,300.0,5,vldb-frontier-text-sift-sw-final-v2-20260714,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,10,10,10,l2,10000,0.98817,0.98817,0.0,6181.0,6181.0,23.473209921099414,r1;r2;r3;r4;r5,5,3190.5922,3193.116,10.839229490793887,5,3445.3182,3446.134,25.89968710822247,5,3534.4182,3541.377,27.707532171824823,0,,,,5,302.0309,302.0309,0.0,5,1070020.3016,1070020.3016,0.0,0,,,,0,,,,0,,,,0,,,
SIFT10M,d-HNSW,48.0,5,vldb-dhnsw-text-sift-node7-final-v3-20260713,60ddb08234a93c431f94fea3cb37d9b109a3feb207d7b72eb8887bc28afff595,10,,10,l2,10000,0.887572,0.88757,0.00017783741536587039,477.4826,476.509,11.705719361865837,r0;r1;r2;r3;r4,0,,,,0,,,,0,,,,5,18352.440000000002,18288.7,605.4968704600551,0,,,,0,,,,5,1616.27,1596.61,89.53026805206113,5,644.5098,641.224,58.08406619250064,5,42.016799999999996,41.469,1.8606953367824202,5,6454.172,6383.29,428.68207902035647
SIFT10M,d-HNSW,64.0,5,vldb-dhnsw-text-sift-node7-final-v3-20260713,60ddb08234a93c431f94fea3cb37d9b109a3feb207d7b72eb8887bc28afff595,10,,10,l2,10000,0.895018,0.89502,8.663610923858454e-05,481.6938,469.352,38.52118055317051,r0;r1;r2;r3;r4,0,,,,0,,,,0,,,,5,18410.84,18907.4,1424.7641461381131,0,,,,0,,,,5,1585.988,1585.49,37.30987932419919,5,763.081,805.819,119.65977440826785,5,37.9966,38.149,2.0789661384561704,5,6373.148,6712.57,1021.4048381460893
SIFT10M,d-HNSW,96.0,5,vldb-dhnsw-text-sift-node7-final-v3-20260713,60ddb08234a93c431f94fea3cb37d9b109a3feb207d7b72eb8887bc28afff595,10,,10,l2,10000,0.9009119999999999,0.90094,9.908414718815031e-05,480.8488,470.188,31.520059543434805,r0;r1;r2;r3;r4,0,,,,0,,,,0,,,,5,18313.46,18840.1,1452.128679547107,0,,,,0,,,,5,1603.504,1580.78,48.54981201064581,5,1000.472,1013.09,135.91753935896418,5,37.8574,37.693,0.8425809842483748,5,6313.186,6502.42,690.247223859812
