dataset,method,ef,n,campaign_ids,binary_sha256s,threads,query_contexts,top_k,metric,expected_queries,recall_mean,recall_median,recall_ci95,qps_mean,qps_median,qps_ci95,run_ids,p50_us_n,p50_us_mean,p50_us_median,p50_us_ci95,p95_us_n,p95_us_mean,p95_us_median,p95_us_ci95,p99_us_n,p99_us_mean,p99_us_median,p99_us_ci95,mean_latency_us_n,mean_latency_us_mean,mean_latency_us_median,mean_latency_us_ci95,posts_per_query_n,posts_per_query_mean,posts_per_query_median,posts_per_query_ci95,bytes_per_query_n,bytes_per_query_mean,bytes_per_query_median,bytes_per_query_ci95,network_us_n,network_us_mean,network_us_median,network_us_ci95,compute_us_n,compute_us_mean,compute_us_median,compute_us_ci95,meta_us_n,meta_us_mean,meta_us_median,meta_us_ci95,deserialize_us_n,deserialize_us_mean,deserialize_us_median,deserialize_us_ci95
DEEP1M,SHINE,100.0,5,vldb-1m-seven-final-v2-20260715,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,10,10,10,l2,10000,0.96947,0.96947,0.0,1924.2,1926.0,7.044698250457572,r1;r2;r3;r4;r5,5,10601.4398,10594.115,38.310253584591145,5,13451.3678,13443.824,40.229134020172324,5,14475.009,14462.735,71.66425567886152,0,,,,5,1756.1666,1756.1666,0.0,5,685797.748,685797.748,0.0,0,,,,0,,,,0,,,,0,,,
DEEP1M,SHINE,150.0,5,vldb-1m-seven-final-v2-20260715,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,10,10,10,l2,10000,0.98292,0.98292,0.0,1403.6,1403.0,1.8827748033155745,r1;r2;r3;r4;r5,5,14552.744200000001,14562.025,30.37812925329603,5,18708.218800000002,18695.158,49.53682312687218,5,20088.3448,20099.424,137.6797129081459,0,,,,5,2406.151,2406.151,0.0,5,938829.91,938829.91,0.0,0,,,,0,,,,0,,,,0,,,
DEEP1M,SHINE,200.0,5,vldb-1m-seven-final-v2-20260715,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,10,10,10,l2,10000,0.98901,0.98901,0.0,1112.4,1113.0,2.420060693453782,r1;r2;r3;r4;r5,5,18347.8518,18341.3,63.053958781030516,5,23931.160200000002,23888.189000000002,82.21297092721551,5,25621.8132,25654.526,110.80148735600817,0,,,,5,3018.3664,3018.3664,0.0,5,1176736.104,1176736.104,0.0,0,,,,0,,,,0,,,,0,,,
DEEP1M,SlabWalk,30.0,5,vldb-1m-seven-final-v2-20260715,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,10,10,10,l2,10000,0.87463,0.87463,0.0,61128.4,61164.0,192.43627652020288,r1;r2;r3;r4;r5,5,305.4212,305.096,0.8920499663730949,5,402.4648,403.712,2.7088270586523198,5,522.6850000000001,523.618,9.215697218476224,0,,,,5,33.6011,33.6011,0.0,5,123103.1512,123103.1512,0.0,0,,,,0,,,,0,,,,0,,,
DEEP1M,SlabWalk,50.0,5,vldb-1m-seven-final-v2-20260715,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,10,10,10,l2,10000,0.92763,0.92763,0.0,39195.6,39227.0,140.8244854027878,r1;r2;r3;r4;r5,5,488.6,488.556,2.068540828593538,5,570.4418000000001,570.415,4.314082846434267,5,779.0464,775.968,13.401343392569439,0,,,,5,52.9723,52.9723,0.0,5,196684.5016,196684.5016,0.0,0,,,,0,,,,0,,,,0,,,
DEEP1M,SlabWalk,80.0,5,vldb-1m-seven-final-v2-20260715,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,10,10,10,l2,10000,0.95871,0.95871,0.0,25857.8,25443.0,745.2561710428433,r1;r2;r3;r4;r5,5,753.1418,765.445,21.96195958710754,5,823.269,835.745,23.743631962148356,5,1129.8932,1135.854,25.088108675862394,0,,,,5,82.4738,82.4738,0.0,5,308653.8896,308653.8896,0.0,0,,,,0,,,,0,,,,0,,,
DEEP1M,SlabWalk,100.0,5,vldb-1m-seven-final-v2-20260715,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,10,10,10,l2,10000,0.96957,0.96957,0.0,20728.4,20571.0,446.98824092201795,r1;r2;r3;r4;r5,5,946.3900000000001,953.7760000000001,19.219861765439365,5,1011.9718,1017.501,19.12950173312959,5,1244.3644,1238.866,111.03852723409504,0,,,,5,102.2651,102.2651,0.0,5,383744.2392,383744.2392,0.0,0,,,,0,,,,0,,,,0,,,
DEEP1M,SlabWalk,150.0,5,vldb-1m-seven-final-v2-20260715,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,10,10,10,l2,10000,0.98288,0.98288,0.0,13994.8,13890.0,317.9645959521908,r1;r2;r3;r4;r5,5,1410.6368,1421.542,34.01821206446657,5,1483.4588,1493.3020000000001,35.70676516608339,5,1619.9964,1605.343,38.125850882339535,0,,,,5,151.9964,151.9964,0.0,5,572379.0688,572379.0688,0.0,0,,,,0,,,,0,,,,0,,,
DEEP1M,SlabWalk,200.0,5,vldb-1m-seven-final-v2-20260715,2e60c6ea3bb3893b66cbce65cfdc5d82faab4a74fcc469fdeb7b5ff8dda34fb6,10,10,10,l2,10000,0.98907,0.98907,0.0,10483.8,10490.0,47.75526908562028,r1;r2;r3;r4;r5,5,1888.3942,1885.128,10.915488713441004,5,1975.3884,1973.041,21.006551092239754,5,2060.7286,2052.664,25.092741059618035,0,,,,5,201.8453,201.8453,0.0,5,761436.3176,761436.3176,0.0,0,,,,0,,,,0,,,,0,,,
DEEP1M,d-HNSW,48.0,5,vldb-1m-seven-final-v2-20260715,beba583132396a9cac70b717ff232b28daebf16fdcfd7701a1f1c3d9848648ba,10,,10,l2,10000,0.901238,0.90125,9.985885911628255e-05,4963.8704,4887.666,353.67273777924316,r1;r2;r3;r4;r5,0,,,,0,,,,0,,,,5,1891.076,1901.54,115.75607832260914,0,,,,0,,,,5,332.588,344.37,78.8291373123162,5,567.2977999999999,578.084,102.24886649682773,5,74.4836,38.143,105.49635270663815,5,1580.938,1535.28,166.86025136135953
