dataset,system,cn_count,n,qps_mean,qps_median,qps_ci95,qps_ci95_low,qps_ci95_high,qps_min,qps_max,recall_mean,recall_median,recall_ci95,recall_ci95_low,recall_ci95_high,recall_min,recall_max,p50_us_mean,p50_us_median,p50_us_ci95,p50_us_ci95_low,p50_us_ci95_high,p50_us_min,p50_us_max,p99_us_mean,p99_us_median,p99_us_ci95,p99_us_ci95_low,p99_us_ci95_high,p99_us_min,p99_us_max,posts_per_query_mean,posts_per_query_median,posts_per_query_ci95,posts_per_query_ci95_low,posts_per_query_ci95_high,posts_per_query_min,posts_per_query_max,bytes_per_query_mean,bytes_per_query_median,bytes_per_query_ci95,bytes_per_query_ci95_low,bytes_per_query_ci95_high,bytes_per_query_min,bytes_per_query_max,fairness_mean,fairness_median,fairness_ci95,fairness_ci95_low,fairness_ci95_high,fairness_min,fairness_max,qps_scale_from_1cn_mean,qps_scale_from_1cn_median,qps_scale_from_1cn_ci95,qps_scale_from_1cn_ci95_low,qps_scale_from_1cn_ci95_high,qps_scale_from_1cn_min,qps_scale_from_1cn_max,scaling_efficiency_mean
DEEP1M,SHINE,2,5,2194.8,2197.0,9.985885911625468,2184.814114088375,2204.7858859116254,2182.0,2204.0,0.98901,0.98901,0.0,0.98901,0.98901,0.98901,0.98901,,,,,,,,,,,,,,,3018.3684,3018.3684,0.0,3018.3684,3018.3684,3018.3684,3018.3684,1176736.12,1176736.12,0.0,1176736.12,1176736.12,1176736.12,1176736.12,0.9996325482058046,0.9996607979697063,7.180802523120347e-05,0.9995607401805734,0.9997043562310358,0.999560547242011,0.9996928105496596,1.972690159511343,1.9739442946990118,0.011885976831075732,1.9608041826802673,1.9845761363424188,1.963996399639964,1.9873760144274122,0.9863450797556715
DEEP1M,SHINE,3,5,3271.4,3274.0,15.067313793772264,3256.3326862062277,3286.4673137937725,3251.0,3281.0,0.98901,0.98901,0.0,0.98901,0.98901,0.98901,0.98901,,,,,,,,,,,,,,,3018.3704,3018.3704,0.0,3018.3704,3018.3704,3018.3704,3018.3704,1176736.136,1176736.136,0.0,1176736.136,1176736.136,1176736.136,1176736.136,0.9997304108637615,0.9997726341485978,0.0001279313897666972,0.9996024794739947,0.9998583422535282,0.9995663617730572,0.9998264133895834,2.940336916213535,2.938903863432165,0.016762429657054784,2.9235744865564803,2.95709934587059,2.920934411500449,2.957619477006312,0.9801123054045117
DEEP1M,SlabWalk,1,5,10448.4,10440.0,70.03336902477275,10378.366630975226,10518.433369024773,10383.0,10535.0,0.98907,0.98907,0.0,0.98907,0.98907,0.98907,0.98907,1875.5944,1875.857,6.038807865526572,1869.5555921344733,1881.6332078655266,1868.134,1881.7250000000001,2225.1436,2177.366,160.38446329120285,2064.759136708797,2385.5280632912027,2086.918,2382.821,201.8453,201.8453,0.0,201.8453,201.8453,201.8453,201.8453,761436.3176,761436.3176,0.0,761436.3176,761436.3176,761436.3176,761436.3176,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
DEEP1M,SlabWalk,2,5,14698.2,14700.0,9.265354857748298,14688.934645142252,14707.46535485775,14690.0,14707.0,0.98907,0.98907,0.0,0.98907,0.98907,0.98907,0.98907,,,,,,,,,,,,,,,201.8453,201.8453,0.0,201.8453,201.8453,201.8453,201.8453,761436.3176,761436.3176,0.0,761436.3176,761436.3176,761436.3176,761436.3176,0.9999158693165253,0.9999116393810158,2.2025994314760397e-05,0.9998938433222105,0.9999378953108401,0.9998992795610641,0.9999422261533429,1.4067758269341177,1.4087164750957855,0.009839336014096858,1.3969364909200208,1.4166151629482147,1.3944945420028476,1.41606472117885,0.7033879134670589
DEEP1M,SlabWalk,3,5,21898.8,21935.0,127.69117208264632,21771.108827917353,22026.491172082646,21717.0,21960.0,0.9890699999999999,0.9890699999999999,0.0,0.9890699999999999,0.9890699999999999,0.9890699999999999,0.9890699999999999,,,,,,,,,,,,,,,201.8453,201.8453,0.0,201.8453,201.8453,201.8453,201.8453,761436.3176,761436.3176,0.0,761436.3176,761436.3176,761436.3176,761436.3176,0.9688690876538013,0.9687031180554296,0.0007867607986487032,0.9680823268551526,0.96965584845245,0.9681395571350663,0.9698528784981965,2.095952483399171,2.1010536398467434,0.019434463842651697,2.076518019556519,2.1153869472418227,2.07579812655324,2.1148993547144372,0.6986508277997237
DEEP1M,d-HNSW,1,5,771.8883082363581,787.7785807579468,64.62851052492329,707.2597977114348,836.5168187612813,681.5070925099409,815.9321792668649,0.908919996,0.908919996,0.0,0.908919996,0.908919996,0.908919996,0.908919996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
DEEP1M,d-HNSW,2,5,734.6288578746418,764.9606918421114,127.14885441348457,607.4800034611571,861.7777122881264,564.8208311067165,813.4516292126184,0.9089200049499999,0.9089200049499999,0.0,0.9089200049499999,0.9089200049499999,0.9089200049499999,0.9089200049499999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9889591132358008,0.9996782622880457,0.02367372081818573,0.965285392417615,1.0126328340539865,0.9558558522315501,0.9999996826168841,0.9600707436974134,0.9684201782967886,0.2262988757246712,0.7337718679727422,1.1863696194220845,0.6922399256445823,1.193606989791897,0.4800353718487067
DEEP1M,d-HNSW,3,5,651.0760302624983,668.2226011811813,60.317362047928384,590.75866821457,711.3933923104266,568.311024576538,688.175097667834,0.9089099950149,0.9089099950149,0.0,0.9089099950149,0.9089099950149,0.9089099950149,0.9089099950149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9030222250094968,0.9048816207804872,0.05724076841145246,0.8457814565980444,0.9602629934209492,0.836042825583723,0.9662868793515778,0.8476103441787326,0.8434219352473343,0.12254785595086079,0.7250624882278718,0.9701582001295934,0.724592687444124,0.9998214752309558,0.2825367813929109
GIST1M,SHINE,1,5,458.8,459.0,1.8413900836053179,456.9586099163947,460.6413900836053,457.0,461.0,0.9071,0.9071,0.0,0.9071,0.9071,0.9071,0.9071,44443.062600000005,44390.969,229.33246550330463,44213.7301344967,44672.39506550331,44213.308000000005,44715.084,58401.123400000004,58168.41,691.8822470912314,57709.24115290877,59093.00564709124,58125.173,59397.072,4977.859,4977.859,0.0,4977.859,4977.859,4977.859,4977.859,18079265.152,18079265.152,0.0,18079265.152,18079265.152,18079265.152,18079265.152,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
GIST1M,SHINE,2,5,624.8,625.0,1.038684090568446,623.7613159094315,625.8386840905684,624.0,626.0,0.9071,0.9071,0.0,0.9071,0.9071,0.9071,0.9071,,,,,,,,,,,,,,,4977.879,4977.879,0.0,4977.879,4977.879,4977.879,4977.879,18079265.312,18079265.312,0.0,18079265.312,18079265.312,18079265.312,18079265.312,0.9999841177987251,0.9999803922979561,9.524999772564613e-06,0.9999745927989525,0.9999936427984977,0.9999778015218249,0.9999967152916792,1.3618211969811103,1.3616557734204793,0.004005659132361473,1.3578155378487489,1.3658268561134717,1.3579175704989155,1.3654266958424508,0.6809105984905551
